Basic Fantasy Field Guide Omnibus to White Box conversion notes

Converted Field Guide entries added: 672.
Source: The Basic Fantasy Field Guide of Creatures Malevolent and Benign – Omnibus Edition, 1st Edition Release 4, © 2010–2025 Chris Gonnerman, R. Kevin Smoot, James Lemon, Matt Sluis, and Contributors. Textual material is Creative Commons Attribution-ShareAlike 4.0 International licensed.

General conversion rules applied:
- White Box ascending AC = BFRPG AC - 1. Where this site displays dual AC, the converted format is descending [ascending].
- Hit Dice were preserved. Each BFRPG asterisk adds one HDE step. Fractional HD plus asterisks were rounded up for HDE.
- Multiple attacks were compressed into a single White Box-style attack. Most ordinary multiattacks became a single 1d6-range attack, while especially large or high-damage attacks were retained as larger Xd6 attacks.
- Multi-column Field Guide entries and table variants were split into individual monster pages where the PDF presented distinct stat columns.
- Converted creatures are marked with a dagger (†) in indexes and tables. Their actual pages contain the Creative Commons source note.

Problems or judgment-call entries:
- Axolotl, Giant: the PDF text layer omits the title at a page break; I recovered the stat block manually from the page and noted this in parsing notes.
- Grave Dancer: BFRPG lists Hit Dice as Special because it cannot be damaged normally; I preserved Special HD and assigned White Box HDE 8 based on its Fighter 8 save, vampire-level Turning benchmark, and strong undead aura.
- Variable-HD creatures such as Ankheg, Boglin, Mushroom Men, Naga, Paper Tiger, Piercer, Remorhaz, and Roper retain variable HD/HDE/XP ranges rather than being split into every possible HD permutation.
- Creatures whose threat is mostly special effects (gaze, disease, mind swap, charm, paralysis, possession, acid corrosion, or spellcasting) received HDE adjustments from BFRPG asterisks, but their danger can vary widely by party level and preparation.
- Very large monsters and singular heavy attackers, such as Aerial Servant, Kraken-like entries if present, giant dinosaurs, and Xorn, use larger Xd6-style single attacks rather than the default 1d6-range attack.
- Several entries have source XP formulas or multiple source XP values. White Box XP was recalculated from converted HDE rather than copied directly from Basic Fantasy source XP.
- Shared category introductions, such as Advi, Bagobone, Bear, Brazen Spheres, Celestials, Deep Ones, Elemental, and Eurypterids, were prepended to their child entries when applicable.

Parser recovery notes:
- Recovered Axolotl, Giant manually because the title is omitted from the PDF text layer at the page break.

Index items not directly located in PDF text layer:
- Axolotl, Giant (printed page 17)

Converted entries:
- Aboleth: HD 8; HDE 10; XP 1,400; source p. 2.
- Advi, Avenger: HD 9; HDE 10; XP 1,400; source p. 3.
- Advi, Charity: HD 6; HDE 7; XP 600; source p. 3.
- Advi, Diligence: HD 12; HDE 12; XP 2,000; source p. 4.
- Aergian Amalgamation: HD 13; HDE 15; XP 2,900; source p. 4.
- Aerial Servant: HD 16; HDE 18; XP 3,800; source p. 5.
- Aeromi: HD 1; HDE 1; XP 15; source p. 5.
- Aghar: HD 9+2; HDE 11; XP 1,700; source p. 6.
- Aghlorv: HD 3; HDE 3; XP 60; source p. 6.
- Allip: HD 6; HDE 8; XP 800; source p. 7.
- Alokin: HD 2; HDE 3; XP 60; source p. 7.
- Amalgam: HD 8; HDE 9; XP 1,100; source p. 8.
- Amarok: HD 2; HDE 2; XP 30; source p. 8.
- Ankheg (Adult): HD 4 or 5; HDE 5 or 6; XP 240/400; source p. 9.
- Ankheg (Juvenile): HD 2 or 3; HDE 3 or 4; XP 60/120; source p. 9.
- Ant Lion, Giant: HD 4; HDE 4; XP 120; source p. 10.
- Anubian: HD 1+1; HDE 1; XP 15; source p. 10.
- Apatosapien: HD 6; HDE 6; XP 400; source p. 11.
- Ape, Bonobo: HD 1-1; HDE 1; XP 15; source p. 11.
- Ape, Carnivorous Snow: HD 6; HDE 6; XP 400; source p. 11.
- Ape, Chimpanzee: HD 1+1; HDE 1; XP 15; source p. 12.
- Ape, Gigantopithecus: HD 7; HDE 7; XP 600; source p. 12.
- Ape, Girallon: HD 7; HDE 7; XP 600; source p. 12.
- Ape, Gorilla: HD 4; HDE 4; XP 120; source p. 13.
- Ape, Orangutan (Female): HD 2; HDE 2; XP 30; source p. 13.
- Ape, Orangutan (Male): HD 3; HDE 3; XP 60; source p. 13.
- Ape, Winged: HD 3; HDE 3; XP 60; source p. 13.
- Aranea: HD 4; HDE 6; XP 400; source p. 14.
- Armorollo: HD 1; HDE 1; XP 15; source p. 14.
- Armorphage: HD 4; HDE 5; XP 240; source p. 15.
- Aurumvorax: HD 10 or 12; HDE 10 or 12; XP 1,400/2,000; source p. 15.
- Avir: HD 1+3; HDE 1; XP 15; source p. 16.
- Awful Offal: HD 2; HDE 2; XP 30; source p. 16.
- Axolotl, Giant: HD 10; HDE 11; XP 1,700; source p. 17.
- Baboon: HD 1+1; HDE 1; XP 15; source p. 17.
- Badger: HD 1+2; HDE 1; XP 15; source p. 17.
- Bagobone, Aquatic: HD 8; HDE 10; XP 1,400; source p. 18.
- Bagobone, Forest: HD 6; HDE 8; XP 800; source p. 18.
- Baldander: HD 5; HDE 6; XP 400; source p. 18.
- Balroach: HD 5; HDE 7; XP 600; source p. 55.
- Baluchitherium: HD 14; HDE 14; XP 2,600; source p. 19.
- Banshee: HD 7; HDE 9; XP 1,100; source p. 19.
- Barghest: HD 6+3; HDE 7; XP 600; source p. 19.
- Barkgheist: HD 5; HDE 7; XP 600; source p. 20.
- Barrode: HD 2+2; HDE 2; XP 30; source p. 20.
- Bat, Giant Flying Fox: HD 3; HDE 3; XP 60; source p. 21.
- Bear, Battle: HD 8; HDE 9; XP 1,100; source p. 21.
- Bear, Dream: HD 8; HDE 9; XP 1,100; source p. 22.
- Bear, Ghost: HD 9; HDE 10; XP 1,400; source p. 22.
- Bear, Long: HD 7; HDE 7; XP 600; source p. 23.
- Bear, Migou: HD 6; HDE 7; XP 600; source p. 23.
- Bear, Quill (Common): HD 5; HDE 5; XP 240; source p. 24.
- Bear, Quill (Huge): HD 7; HDE 7; XP 600; source p. 24.
